iter	Passed	Remaining
0	1	161
1	3	157
2	4	149
3	5	139
4	7	137
5	9	153
6	11	149
7	13	150
8	16	164
9	17	161
10	19	158
11	21	155
12	22	151
13	24	149
14	26	147
15	27	145
16	29	143
17	31	141
18	32	139
19	34	136
20	35	134
21	37	133
22	39	131
23	40	129
24	42	126
25	44	125
26	45	123
27	47	121
28	48	119
29	50	117
30	51	115
31	53	113
32	55	111
33	56	109
34	58	108
35	59	106
36	61	104
37	63	102
38	64	101
39	66	99
40	68	97
41	68	94
42	70	93
43	72	91
44	73	90
45	75	88
46	76	86
47	78	85
48	80	83
49	82	82
50	83	80
51	85	78
52	87	77
53	88	75
54	89	73
55	91	71
56	93	70
57	95	68
58	96	67
59	98	65
60	100	64
61	101	62
62	103	60
63	104	58
64	105	56
65	106	54
66	107	53
67	108	51
68	110	49
69	112	48
70	113	46
71	114	44
72	116	43
73	118	41
74	120	40
75	121	38
76	122	36
77	123	34
78	124	33
79	126	31
80	127	29
81	128	28
82	129	26
83	131	24
84	132	23
85	133	21
86	134	20
87	135	18
88	136	16
89	137	15
90	138	13
91	139	12
92	141	10
93	142	9
94	143	7
95	145	6
96	146	4
97	147	3
98	148	1
99	149	0
