iter	Passed	Remaining
0	16	16613
1	18	9401
2	20	6915
3	22	5524
4	23	4770
5	26	4365
6	28	4018
7	28	3591
8	29	3243
9	29	2950
10	30	2718
11	30	2517
12	30	2352
13	31	2206
14	31	2079
15	31	1967
16	32	1870
17	32	1782
18	33	1713
19	33	1645
20	34	1586
21	36	1622
22	37	1573
23	37	1520
24	37	1475
25	38	1437
26	38	1397
27	39	1357
28	39	1320
29	40	1302
30	40	1275
31	41	1246
32	41	1220
33	42	1194
34	42	1173
35	43	1165
36	44	1151
37	44	1138
38	46	1136
39	46	1116
40	46	1095
41	47	1076
42	47	1057
43	47	1039
44	48	1022
45	48	1005
46	49	995
47	49	991
48	50	977
49	50	963
50	51	958
51	51	945
52	52	933
53	52	922
54	53	914
55	53	903
56	53	892
57	54	881
58	55	886
59	55	876
60	56	865
61	56	855
62	56	846
63	57	837
64	58	836
65	72	1024
66	73	1024
67	73	1014
68	76	1026
69	76	1016
70	76	1006
71	77	997
72	77	988
73	78	980
74	79	984
75	80	976
76	81	971
77	81	963
78	81	954
79	84	967
80	84	962
81	85	956
82	85	947
83	91	997
84	92	990
85	92	982
86	92	974
87	93	968
88	93	960
89	94	952
90	94	943
91	94	935
92	95	927
93	95	919
94	95	911
95	96	904
96	96	897
97	96	891
98	100	910
99	100	905
100	101	899
101	101	892
102	101	885
103	102	879
104	102	872
105	102	866
106	103	860
107	103	856
108	104	851
109	104	847
110	105	843
111	105	839
112	106	836
113	107	837
114	108	836
115	109	831
116	110	836
117	111	833
118	111	828
119	112	823
120	112	818
121	112	812
122	113	808
123	113	804
124	114	799
125	114	794
126	114	789
127	115	784
128	116	786
129	117	783
130	117	778
131	117	774
132	118	770
133	118	766
134	119	766
135	120	765
136	121	763
137	140	880
138	141	876
139	141	871
140	142	867
141	142	861
142	142	856
143	143	852
144	143	847
145	144	842
146	144	837
147	145	834
148	145	831
149	146	831
150	147	829
151	150	838
152	150	835
153	155	852
154	155	848
155	155	843
156	156	838
157	156	833
158	156	828
159	157	824
160	157	819
161	157	814
162	157	810
163	158	805
164	158	801
165	158	796
166	158	792
167	159	788
168	159	784
169	159	780
170	160	776
171	160	772
172	160	768
173	161	764
174	161	761
175	162	759
176	163	759
177	164	759
178	164	756
179	165	753
180	166	753
181	166	749
182	167	747
183	167	743
184	167	739
185	168	736
186	168	732
187	168	729
188	169	726
189	169	723
190	170	722
191	171	722
192	172	720
193	172	717
194	173	714
195	173	711
196	173	708
197	174	705
198	174	702
199	174	699
200	175	696
201	175	692
202	175	689
203	175	686
204	176	682
205	176	679
206	176	676
207	176	673
208	177	670
209	180	677
210	180	674
211	180	672
212	181	670
213	181	667
214	181	664
215	182	661
216	182	658
217	182	655
218	182	652
219	183	649
220	183	646
221	183	643
222	183	640
223	184	637
224	184	635
225	184	633
226	185	630
227	185	628
228	185	625
229	186	625
230	187	625
231	189	625
232	189	623
233	189	621
234	190	620
235	193	626
236	194	626
237	195	624
238	195	622
239	195	620
240	196	617
241	196	614
242	196	613
243	197	610
244	197	609
245	197	606
246	198	604
247	198	603
248	199	600
249	199	598
250	199	596
251	200	593
252	200	591
253	200	589
254	200	587
255	201	584
256	201	582
257	202	580
258	202	578
259	202	576
260	203	574
261	203	572
262	203	570
263	204	568
264	204	566
265	204	564
266	204	562
267	205	560
268	205	557
269	205	555
270	205	553
271	205	551
272	206	549
273	206	547
274	206	545
275	207	543
276	207	542
277	207	540
278	208	538
279	208	537
280	209	535
281	209	533
282	210	534
283	211	533
284	211	531
285	212	530
286	212	528
287	213	527
288	214	527
289	214	526
290	216	526
291	216	525
292	216	523
293	217	522
294	218	521
295	218	519
296	218	517
297	218	515
298	219	514
299	219	512
300	219	510
301	220	509
302	221	509
303	221	507
304	221	505
305	222	503
306	222	502
307	222	500
308	223	499
309	223	497
310	223	496
311	224	494
312	224	493
313	225	491
314	225	490
315	225	488
316	225	486
317	226	485
318	226	483
319	226	481
320	227	480
321	227	478
322	227	477
323	228	475
324	228	474
325	228	472
326	229	471
327	229	469
328	229	468
329	230	467
330	230	465
331	230	464
332	231	462
333	231	461
334	231	460
335	232	458
336	232	457
337	232	455
338	233	454
339	233	452
340	233	451
341	233	449
342	234	448
343	234	446
344	234	445
345	234	443
346	234	442
347	235	440
348	235	439
349	237	440
350	238	440
351	239	440
352	240	440
353	242	442
354	242	441
355	243	440
356	243	438
357	243	437
358	244	436
359	244	435
360	245	434
361	246	434
362	246	432
363	246	431
364	247	430
365	247	429
366	248	428
367	248	426
368	249	425
369	249	424
370	250	425
371	251	423
372	252	424
373	254	426
374	255	426
375	256	425
376	256	423
377	256	422
378	256	420
379	257	419
380	257	418
381	257	416
382	257	415
383	258	414
384	258	413
385	259	412
386	259	411
387	260	410
388	260	409
389	260	407
390	261	406
391	261	406
392	262	404
393	262	404
394	263	404
395	264	403
396	268	407
397	268	406
398	269	406
399	269	404
400	270	403
401	270	402
402	270	400
403	270	399
404	271	398
405	271	396
406	271	395
407	272	394
408	272	393
409	272	392
410	272	390
411	273	389
412	273	388
413	273	387
414	274	386
415	274	385
416	274	384
417	275	383
418	275	381
419	275	381
420	276	379
421	276	378
422	276	377
423	277	376
424	277	375
425	277	374
426	278	373
427	278	372
428	279	371
429	279	370
430	280	369
431	281	369
432	281	368
433	281	367
434	282	367
435	283	366
436	283	365
437	284	364
438	284	363
439	284	362
440	285	361
441	285	360
442	285	359
443	287	359
444	288	359
445	289	359
446	289	358
447	290	358
448	291	357
449	291	356
450	291	355
451	292	354
452	292	353
453	293	353
454	294	353
455	300	358
456	301	357
457	301	357
458	302	356
459	302	355
460	304	355
461	304	354
462	305	354
463	305	353
464	305	351
465	306	350
466	306	349
467	306	348
468	306	347
469	306	346
470	307	345
471	307	343
472	307	342
473	307	341
474	308	340
475	308	339
476	308	338
477	308	337
478	309	336
479	309	335
480	309	334
481	310	333
482	315	337
483	316	337
484	316	336
485	317	335
486	317	334
487	317	333
488	317	332
489	318	331
490	318	330
491	318	329
492	318	327
493	319	326
494	319	325
495	319	324
496	320	323
497	320	322
498	320	322
499	321	321
500	321	320
501	321	319
502	322	318
503	322	317
504	322	316
505	323	315
506	323	314
507	323	313
508	324	312
509	324	311
510	324	310
511	324	309
512	324	308
513	325	307
514	325	306
515	326	306
516	327	305
517	327	304
518	328	304
519	329	303
520	329	303
521	330	302
522	331	302
523	332	302
524	333	301
525	334	301
526	334	300
527	334	299
528	334	298
529	335	297
530	335	296
531	335	295
532	335	294
533	336	293
534	336	292
535	336	291
536	336	290
537	337	289
538	337	288
539	337	287
540	337	286
541	338	285
542	338	284
543	338	283
544	338	282
545	339	281
546	340	281
547	340	280
548	341	280
549	341	279
550	342	278
551	342	278
552	343	277
553	343	276
554	343	275
555	344	275
556	344	274
557	345	273
558	345	272
559	345	271
560	345	270
561	346	269
562	346	268
563	346	267
564	346	267
565	347	266
566	347	265
567	347	264
568	348	263
569	348	262
570	348	262
571	349	261
572	349	260
573	349	259
574	350	258
575	350	258
576	350	257
577	351	256
578	352	256
579	353	255
580	353	255
581	353	254
582	359	257
583	360	256
584	361	256
585	361	255
586	362	254
587	362	253
588	362	253
589	363	252
590	363	251
591	363	250
592	364	249
593	364	249
594	365	248
595	365	247
596	365	246
597	366	246
598	366	245
599	366	244
600	367	243
601	367	242
602	367	242
603	368	241
604	368	240
605	368	239
606	369	239
607	370	238
608	372	239
609	372	238
610	373	237
611	374	237
612	374	236
613	374	235
614	375	234
615	375	234
616	375	233
617	376	232
618	376	231
619	377	231
620	378	230
621	378	229
622	378	229
623	379	228
624	379	227
625	379	226
626	379	226
627	380	225
628	380	224
629	380	223
630	380	222
631	381	221
632	381	221
633	381	220
634	382	219
635	382	218
636	382	218
637	383	217
638	388	219
639	389	219
640	390	218
641	390	217
642	391	217
643	391	216
644	392	215
645	392	214
646	392	214
647	392	213
648	393	212
649	393	211
650	393	211
651	394	210
652	394	209
653	395	209
654	395	208
655	395	207
656	396	206
657	397	206
658	397	205
659	397	204
660	398	204
661	398	203
662	398	202
663	398	201
664	399	201
665	399	200
666	399	199
667	400	199
668	401	198
669	403	198
670	403	197
671	404	197
672	405	197
673	407	196
674	408	196
675	409	196
676	410	195
677	410	195
678	411	194
679	411	193
680	412	193
681	412	192
682	412	191
683	412	190
684	413	189
685	413	189
686	413	188
687	413	187
688	414	186
689	419	188
690	419	187
691	420	187
692	420	186
693	422	186
694	423	185
695	424	185
696	425	185
697	426	184
698	426	183
699	426	182
700	427	182
701	427	181
702	427	180
703	428	179
704	428	179
705	429	178
706	433	179
707	435	179
708	436	179
709	437	178
710	438	178
711	438	177
712	439	176
713	439	176
714	439	175
715	440	174
716	440	173
717	440	173
718	441	172
719	441	171
720	442	171
721	442	170
722	443	169
723	443	169
724	447	169
725	447	169
726	448	168
727	449	167
728	449	167
729	449	166
730	450	165
731	450	164
732	451	164
733	453	164
734	453	163
735	454	162
736	454	162
737	454	161
738	456	161
739	460	161
740	462	161
741	463	161
742	466	161
743	466	160
744	467	159
745	467	159
746	467	158
747	469	158
748	469	157
749	469	156
750	470	155
751	479	158
752	480	157
753	481	157
754	483	156
755	484	156
756	484	155
757	484	154
758	485	154
759	485	153
760	485	152
761	486	151
762	491	152
763	491	151
764	492	151
765	493	150
766	494	150
767	496	149
768	497	149
769	498	149
770	499	148
771	500	147
772	505	148
773	505	147
774	506	147
775	506	146
776	507	145
777	507	144
778	507	144
779	507	143
780	508	142
781	508	141
782	509	141
783	509	140
784	509	139
785	510	138
786	510	138
787	511	137
788	512	137
789	513	136
790	515	136
791	523	137
792	526	137
793	526	136
794	526	135
795	527	135
796	527	134
797	527	133
798	528	132
799	528	132
800	528	131
801	529	130
802	538	132
803	538	131
804	538	130
805	539	129
806	539	129
807	539	128
808	540	127
809	540	126
810	540	125
811	540	125
812	541	124
813	541	123
814	542	123
815	542	122
816	543	121
817	543	120
818	543	120
819	544	119
820	544	118
821	544	117
822	545	117
823	551	117
824	551	117
825	553	116
826	554	115
827	554	115
828	556	114
829	556	114
830	557	113
831	557	112
832	557	111
833	558	111
834	559	110
835	560	109
836	576	112
837	576	111
838	576	110
839	579	110
840	581	110
841	584	109
842	585	109
843	585	108
844	585	107
845	586	106
846	586	105
847	587	105
848	588	104
849	588	103
850	590	103
851	591	102
852	595	102
853	598	102
854	599	101
855	600	101
856	600	100
857	601	99
858	602	98
859	603	98
860	604	97
861	604	96
862	605	96
863	605	95
864	606	94
865	616	95
866	617	94
867	617	93
868	618	93
869	619	92
870	619	91
871	620	91
872	621	90
873	628	90
874	628	89
875	628	89
876	629	88
877	629	87
878	630	86
879	630	85
880	630	85
881	631	84
882	632	83
883	633	83
884	634	82
885	634	81
886	635	80
887	635	80
888	635	79
889	636	78
890	636	77
891	642	77
892	643	77
893	644	76
894	645	75
895	645	74
896	646	74
897	646	73
898	649	72
899	649	72
900	650	71
901	650	70
902	651	69
903	651	69
904	652	68
905	662	68
906	664	68
907	666	67
908	667	66
909	672	66
910	674	65
911	674	65
912	675	64
913	675	63
914	678	62
915	678	62
916	679	61
917	679	60
918	679	59
919	680	59
920	680	58
921	680	57
922	681	56
923	682	56
924	686	55
925	687	54
926	688	54
927	691	53
928	692	52
929	693	52
930	694	51
931	694	50
932	695	49
933	695	49
934	696	48
935	696	47
936	697	46
937	698	46
938	703	45
939	704	44
940	704	44
941	704	43
942	705	42
943	705	41
944	706	41
945	707	40
946	708	39
947	710	38
948	711	38
949	712	37
950	717	36
951	720	36
952	721	35
953	722	34
954	723	34
955	725	33
956	726	32
957	727	31
958	728	31
959	729	30
960	729	29
961	731	28
962	736	28
963	737	27
964	738	26
965	741	26
966	742	25
967	743	24
968	759	24
969	760	23
970	765	22
971	766	22
972	767	21
973	768	20
974	768	19
975	769	18
976	769	18
977	769	17
978	770	16
979	770	15
980	771	14
981	771	14
982	772	13
983	772	12
984	774	11
985	775	11
986	778	10
987	779	9
988	781	8
989	782	7
990	783	7
991	785	6
992	786	5
993	788	4
994	789	3
995	791	3
996	793	2
997	793	1
998	794	0
999	795	0
